id,name,collection,sku,finish,cbm,price,weight,suggestedRetailPrice,image,,Margen Bruto
1,Mesa Jade Redonda 105 cm Blanca,Comedor ,P54-T43B,Blanco ,0.13,"$5,835",,"$11,669",https://i.postimg.cc/DZBwzmtb/MESA-JADE-RED-BLANCA.jpg,,50.00%
2,Mesa Jade Redonda 105 cm Negra,Comedor ,P54-T43N,Negro,0.13,"$5,835",,"$11,669",https://i.postimg.cc/HnLM8TYy/MESA-JADE-RED-NEGRA.jpg,,50.00%
3,Mesa Jade Rectangular 120 cm,Comedor ,P54-T31B,Blanco ,0.12,"$5,345",,"$10,618",https://i.postimg.cc/J4GJ17dw/MESA-JADE-RECT.jpg,,49.66%
4,Mesa Lavanda Redonda 105 cm Blanca,Comedor ,P45-T43B,Blanco ,0.13,"$6,700",,"$13,625",https://i.postimg.cc/DyJW9j8n/MESA-LAVANDA-RED-BLANCA.jpg,,50.83%
5,Mesa Lavanda Redonda 105 cm Negra,Comedor ,P45-T43N,Negro,0.13,"$6,700",,"$13,625",https://i.postimg.cc/C1x5mJ3y/MESA-LAVANDA-RED-NEGRA.jpg,,50.83%
6,Mesa Lavanda Rectangular 120 cm,Comedor ,P45-T31B,Blanco ,0.12,"$6,210",,"$12,574",https://i.postimg.cc/k4Y4ZKC2/MESA-LAVANDA-RECT.jpg,,50.61%
7,Mesa Elma Redonda 105 cm,Comedor ,P002-T43B,Blanco ,0.42,"$9,203",,"$15,823",https://i.postimg.cc/bw0vPK8c/MESA-ELMA-RED-BLANCA.jpg,,41.83%
8,Mesa Elma Rectangular 120 cm,Comedor ,P002-T31B,Blanco ,0.42,"$8,714",,"$14,772",https://i.postimg.cc/t7QXQzM4/MESA-ELMA-RECT.jpg,,41.01%
9,Mesa Elma Reforzada Rectangular 120 cm,Comedor ,P010-T31B,Blanco ,0.61,"$10,487",,"$19,817",https://i.postimg.cc/h4HxtRFf/MESA-ELMA-RECT-120.jpg,,47.08%
10,Mesa Petra Rectangular 160 cm,Comedor ,P008-T26B,Blanco ,0.18,"$11,851",,"$24,549",https://i.postimg.cc/9fMzBL36/MESA-PETRA.jpg,,51.73%
11,SILLAS LOLA LINO CAQUI (TELLA BEIGE),Comedor ,CMM004CA,Beige,0.34,"$3,742",,"$6,436",https://i.postimg.cc/L63XKcmd/SILLA-LOLA.jpg,,41.86%
12,SILLAS ALICE LINO GRIS MEZCLADO,Comedor ,CMM006CA,Gris,0.34,"$4,051",,"$7,131",https://i.postimg.cc/13Rz9vz8/SILLA-ALICE.jpg,,43.20%
13,Colchon 1 PLAZA,Dormitorio ,C088,gris,0.31,"$6,459",,"$10,915",https://i.postimg.cc/NMXsNVdz/colchon-1p-ml.jpg,,40.82%
14,Colchon 2 PLAZA,Dormitorio ,C138,gris,0.49,"$9,305",,"$15,262",https://i.postimg.cc/KjyZCNVv/colchon-2p-ml.jpg,,39.03%
15,Colchon QUEEN,Dormitorio ,C158,gris,0.59,"$11,110",,"$18,153",https://i.postimg.cc/VkNYy57M/colchon-queen-ml.jpg,,38.80%
16,BOX BAUL 1 PLAZA,Dormitorio ,BAU088,gris,0.50,"$8,169",,"$14,405",https://i.postimg.cc/vmgbBkwZ/E7-PROBF50.jpg,,43.29%
17,BOX BAUL 2 PLAZAS,Dormitorio ,BAU138,gris,0.78,"$10,680",,"$27,240",https://i.postimg.cc/q7P0CwpX/2p.jpg,,60.79%
18,BOX BAUL QUEEN,Dormitorio ,BAU158,gris,0.94,"$15,827",,"$29,423",https://i.postimg.cc/0Q7vGSQg/BOX-Q1.png,,46.21%
19,RACK PARA TV HOGAR 135CM,LIVING,MB 1003,Blanco ,0.06,"$4,394",,"$5,493",https://i.postimg.cc/fLQnbbv8/MB-1003-Mel-FIResultado-700x700.png,,20.00%
20,APARADOR BUFFET 80CM,LIVING,MB 1001,Blanco ,0.06,"$4,243",,"$6,790",https://i.postimg.cc/rmNbFNsp/MB-1001-ML.jpg,,37.52%
21,"APARADOR BUFFET 119,4CM",LIVING,MB 1002,Blanco ,0.08,"$5,632",,"$7,990",https://i.postimg.cc/Gt0kNWd8/MB-1002-FI-R1-Off-White-Resultado-700x700.png,,29.52%
22,Vitrina de cristal con 2 puertas y 1 cajón,LIVING,MB 1057,Blanco ,0.11,"$7,171",,"$9,490",https://i.postimg.cc/fyxxh8RH/MB-1057.jpg,,24.43%
23,Vitrina retro de cristal de 70 cm,LIVING,MB 1005,Blanco ,0.09,"$6,750",,"$9,490",https://i.postimg.cc/7P717Zng/MB-1005.jpg,,28.87%
24,Escritorio Nórdico 120cm Con Estante,OFICINA,MB 1060,blanco / miel,0.05,"$2,779",,"$3,690",https://i.postimg.cc/vHtWq2jT/MB-1060-Mel-Off-White-FI-700x700.png,,24.70%
25,Escritorio Para PC 120 cm Con Cajones,OFICINA,MSM 439,blanco,0.05,"$3,077",,"$3,846",https://i.postimg.cc/G3J8d8jS/MSM-439.jpg,,20.00%
26,"Escritorio Diseño 90 cm Con Cajón Logrado
",OFICINA,MSM 421,miel,0.04,"$2,626",,"$3,283",https://i.postimg.cc/fTz3Lz2W/MSM-421.jpg,,20.00%
27,Cómoda con 4 cajones y 1 puerta,LIVING,MB 1059 M,miel,0.08,"$5,361",,"$6,790",https://i.postimg.cc/brCqdhrd/MB-1059-MIEL-P.jpg,,21.05%
28,Cómoda con 4 cajones y 1 puerta,LIVING,MB 1059 B,blanco,0.08,"$5,361",,"$6,790",https://i.postimg.cc/Xq7VVJVT/MB-1059-BLANCO-MIEL.jpg,,21.05%
29,Vitrina de cristal con 2 puertas y 2 cajones,LIVING,RT 3151,blanco,0.11,"$7,300",,"$9,490",https://i.postimg.cc/HWBY6QzH/RT-3151.png,,23.08%
30,Mostrador retro con 1 puerta y 1 cajón,LIVING,MB 1046,blanco,0.04,"$2,545",,"$3,181",https://i.postimg.cc/GhfcCd65/MB-1046-ML.jpg,,20.00%
31,Silla  Milan Belloch Blanco,Comedor ,HC -P70B,blanco,0.04,"$1,319",,"$1,649",https://i.postimg.cc/761gFB6K/milan-blanca.webp,,20.00%
32,Silla Millan Belloch Negra,Comedor ,HC -P70N,Negro,0.04,"$1,319",,"$1,649",https://i.postimg.cc/8Pm0RHmB/silla-milan.jpg,,20.00%
33,Sillas Gruvyer Blanco,Comedor ,HC-N06B,blanco,0.04,"$1,026",,"$1,283",https://i.postimg.cc/T19B3qk9/bco.jpg,,20.00%
34,Sillas Gruvyer Negro,Comedor ,HC-N06N,negro,0.04,"$1,026",,"$1,283",https://i.postimg.cc/15vLxBVR/100px-10.jpg,,20.00%
35,Silla Aurora Marcela Blanca,Comedor ,HC-N50B,blanca,0.06,"$1,677",,"$2,096",https://i.postimg.cc/fbm2bfy9/blanca.jpg,,20.00%
36,Silla Aurora Marcela Beige,Comedor ,HC-N50C,beige,0.06,"$1,677",,"$2,096",https://i.postimg.cc/dVzNvxsF/beige.jpg,,20.00%
37,Silla Aurora Marcela Negra,Comedor ,HC-N50N,negro,0.06,"$1,677",,"$2,096",https://i.postimg.cc/yNym5QWv/aurora-negr.jpg,,20.00%
38,Silla Plia Umea,Comedor ,HC-P101,transparente,0.02,"$1,204",,"$3,990",https://i.postimg.cc/3RJvq2yG/HC-P101.webp,,69.82%
39,Mesa Eames Redonda Laqueada 100cm Blanco,Comedor ,HT -M01B,blanco,0.11,"$3,432.09",,"$6,500",https://i.postimg.cc/N010xFpH/blanca.webp,,47.20%
40,Mesa Eames Redonda Laqueada 100cm Negro,Comedor ,HT -M01N,negro,0.11,"$3,432.09",,"$6,500",https://i.postimg.cc/wv2TSPKx/negra.webp,,47.20%
41,Mesa Eames Redonda Vidrio 90cm,Comedor ,HT -G019,transparente,0.09,"$3,258.17",,"$5,999",https://i.postimg.cc/x8FjdzTW/Mesaeamesvidrio90.webp,,45.69%
42,Mesa Eames Redonda Vidrio 100cm,Comedor ,HT -G01,transparente,0.11,"$3,875.89",,"$6,950",https://i.postimg.cc/yNXVZ58h/eames-vidrio-100.webp,,44.23%
43,Mesa Eames Rectangular Laqueada 120cm,Comedor ,HT -M08B,blanca,0.17,"$4,781",,"$8,100",https://i.postimg.cc/XJs42CFp/HT-M08-BLANCA.webp,,40.97%
44,Mesa Plia Umea,Comedor ,HT-P04,transparente,0.03,"$2,899",,"$6,500",https://i.postimg.cc/k5w09d5H/plia.webp,,55.39%
45,Mesa Eames Rectangular Laqueada 100 cm,OFICINA,HT-M64B,Blanca,0.08,"$3,425",,"$4,281",https://i.postimg.cc/MHdy9dZg/HT-M64-BLANCA.webp,,20.00%
46,Mesa  Milan Cuadrada Laqueada 80 cm Blanca,Comedor ,HT-M04B,Blanco,0.12,"$4,456",,"$5,570",https://i.postimg.cc/d0QDBdST/HT-M04-BLANCA.webp,,20.00%
47,Mesa  Milan Cuadrada Laqueada 80 cm Negra,Comedor ,HT-M04N,negro,0.12,"$4,456",,"$5,570",https://i.postimg.cc/Y9YcLDfN/HT-M04-NEGRA.webp,,20.00%
48,Mesa Milan Redonda Laqueada 80cm Blanca,Comedor ,HT-M06B,blanco,0.12,"$4,456",,"$5,570",https://i.postimg.cc/50SVkkY4/milan-red-b.jpg,,20.00%
49,Mesa Milan Redonda Laqueada 80cm Negra,Comedor ,HT-M06N,negro,0.12,"$4,456",,"$5,570",https://i.postimg.cc/BbRM5JSX/HT-M06-NEGRA.webp,,20.00%